id,checkoutyear,bibnumber,itembarcode,itemtype,collection,callnumber,itemtitle,subjects,checkoutdatetime
202301211403000010091358860,2023,3265064,0010091358860,acbk,nafic,FIC EPSTEIN 2016,Frozen in time twenty stories,"Chicago Ill Fiction, Short stories",2023-01-21T14:03:00.000
202302041556000010103430756,2023,3614041,0010103430756,acbk,nanf,915.96044 R2128C 2021,Cambodia,"Cambodia Guidebooks, Guidebooks",2023-02-04T15:56:00.000
202302201410000010044403276,2023,2114389,0010044403276,acbk,canf,891.723 C417U 2002,Uncle Vanya,,2023-02-20T14:10:00.000
202303221114000010095016811,2023,2881938,0010095016811,acbk,canf,248.34 M558N 2007,New seeds of contemplation,Spiritual life Catholic Church,2023-03-22T11:14:00.000
202312061620000010108489260,2023,3930221,0010108489260,acbk,nanf,551.5113 Ow28D 2023,Dust the modern world in a trillion particles,"Dust, Informational works",2023-12-06T16:20:00.000
202301021437000010102876371,2023,3674525,0010102876371,acbk,nanf,613.712 W99S 2019,7 minute body plan,"Reducing exercises, Cookbooks",2023-01-02T14:37:00.000
202301021704000010079723457,2023,2901949,0010079723457,acbk,nanf,738.14 H7692W 2012,workshop guide to ceramics,Ceramics,2023-01-02T17:04:00.000
202301021526000010093706413,2023,2543814,0010093706413,acbk,nanf,171.2 Ir84G 2009,guide to the good life the ancient art of Stoic joy,Stoics,2023-01-02T15:26:00.000
202301021245000010094668323,2023,3386232,0010094668323,acbk,nanf,641.5 G853E 2018,Everyday Dorie the way I cook,"Cooking, Cookbooks",2023-01-02T12:45:00.000
202301021055000010108008847,2023,3798901,0010108008847,acbk,nanf,641.8654 B4503C 2021,cookie bible,"Cookies, Baking, Cookbooks, Cookbooks, Recipes",2023-01-02T10:55:00.000
202301021542000010092350700,2023,3344458,0010092350700,acbk,nafic,FIC POWERS 2018,overstory a novel,"Trees Fiction, Nature fiction",2023-01-02T15:42:00.000
202301021730000010100408102,2023,3602272,0010100408102,acbk,nanf,917.20484 Aw66M 2020,Mexico,"Mexico Guidebooks, Guidebooks",2023-01-02T17:30:00.000
202311271557000010087038179,2023,3204895,0010087038179,acbk,nanf,745.59412 R4181V 2016,very vintage Christmas holiday collecting decorating and celebrating,Christmas decorations,2023-11-27T15:57:00.000
202312041631000010076889806,2023,2856899,0010076889806,acbk,canf,641.874 Ab765M 2010,modern mixologist contemporary classic cocktails,Cocktails,2023-12-04T16:31:00.000
202312081110000010058901702,2023,3144352,0010058901702,acbk,naover,779.2092 M3404T 2015,Tiny Streetwise revisited,"Documentary photography, Portrait photography",2023-12-08T11:10:00.000
202301011638000010100602381,2023,3520412,0010100602381,acbk,camys,MYSTERY KENT 2020,burn,"Lesbians Fiction, Women detectives Fiction, Dallas Tex Fiction, Detective and mystery fiction",2023-01-01T16:38:00.000
202301011506000010105827967,2023,3791264,0010105827967,acbk,nanf,641.555 B5488H 2022,How to cook everything fast great food in 30 minutes or less,"Quick and easy cooking, Cookbooks, HOUSE HOME General",2023-01-01T15:06:00.000
202301011156000010017900456,2023,507282,0010017900456,acbk,canf,812.54 Sa56C,Crossing Delancey a romantic comedy,,2023-01-01T11:56:00.000
