publisher_id|publisher_name
1|Hollybook
2|Centipede Press
3|Unnamed Press
4|John Lane, The Bodley Head
5|Bantam Books
6|BBBZ Books
7|CreateSpace Independent Publishing Platform
8|Creative Media Partners, LLC
9|Svet na Vostoke
10|Edibooks
11|HarperFestival
12|Books on Demand
13|Brilliance Audio
14|Trident Press International
15|Penguin Books, Limited
16|McGraw-Hill Contemporary
17|Paperbackshop.Co.UK Ltd - Echo Library
18|Wordsworth Editions
19|Elfene Dünya Yayincilik
20|Dover Publications, Incorporated
21|Unorthodox Press
22|IndyPublish
23|Applewood Books
24|Lanternfish Press
25|The Thames Publishing Co.
26|Vintage Classics
27|IDB Productions
28|Liese. Outside The Box, Andreas
29|Harper
30|Alex Catalogue
31|Naxos Audiobooks
32|Charles Scribner's Sons
33|Blackstone Audio Inc
34|Kessinger Publishing, LLC
35|Penguin Random House
36|American Academic Press
37|Bt Bound
38|J. Grant
39|NTV
40|ACT
41|Dover Publications
42|Duckworth
43|Hodder & Stoughton Audio Books
44|Franklin Classics
45|Biblioteca Nueva
46|Modern Library
47|Editions Flammarion
48|Ernest Ben
49|Mladinska Knjiga
50|William Morrow & Company
51|Companion Book Club
52|Scherz
53|HarperCollins Audio
54|Pan Books
55|Librairie des Champs-Élysées
56|Wydawnictwo Dolnoslaskie
57|Standard Ebooks
58|M. Mizraḥi
59|Penguin Publishing Group
60|Audible Studios on Brilliance Audio
61|Loewe
62|Molino
63|Dodd, Mead
64|Adegi Graphics LLC
65|J. Curley
66|Izdatelstvo
67|West Margin Press
68|Dodd, Mead and Co.
69|Grafton Books
70|Amereon Ltd
71|Altin Kitaplar
72|Penguin
73|Black Dog & Leventhal Publishers
74|PhantomP. International
75|Murray
76|The Commercial Press
77|Penguin in association with John Murray and Cape
78|BBC Books
79|Franklin Watts
80|LGF
81|bnpublishing.com
82|Rehak, David
83|J'ai lu
84|Le Livre de Poche
85|The crime club
86|Alianza
87|Pearson Education, Limited
88|Arcturus Publishing Limited Gunnar Lie
89|CHAMPS-ï¿½LYSï¿½ES (LIE DES)
90|Pearson Education Australia
91|Poli︠a︡ris
92|Ediciones Brontes, S.L.
93|Rodgers Books, Alan
94|Hodder Paperback
95|Bbc Book Pub
96|Lulu.com
97|Granada
98|Players Press
99|Esperanto Publishing
100|Daily Express Fiction Library
101|Montecristo Publishing LLC
102|Macmillan
103|Blackstone Audio, Inc.
104|Océano Gran Travesía
105|Puffin
106|J'ai Lu
107|Sudamericana
108|Invictus
109|Vintage
110|Collins Audio
111|Abela Publishing
112|Lohvinaŭ
113|Everyman Paperback Classics
114|Tango Books
115|ReadHowYouWant.com
116|Editions Gallimard
117|Éditions du Renouvreau Pédagogique Inc.
118|Joh. Brendow & Sohn Verlag GmbH, Moers
119|EDL
120|Time
121|Wadsworth Cengage Learning
122|Aziloth Books
123|Oxf. UP
124|Printed for J. Johnson [and 27 others]
125|Center for Louisiana Studies, University of Louisiana at Lafayette
126|A. Bell [etc.]
127|Froben
128|
129|Sine nomine
130|Open Road Integrated Media, Inc.
131|Biblok Book Export, S.L.
132|Blurb
133|Editora Penkal
134|Mariner Books/Houghton Mifflin Harcourt
135|A. Mondadori
136|Anaconda Verlag
137|Norton
138|Bantam
139|Project Gutenberg
140|Galaxia Gutenberg
141|Little, Brown
142|Dodd, Mead & Co
143|Sumptibus C. & A. Philibert
144|Dodd, Mead and Copmpany
145|Longmans, Green, and co.
146|Modern Library c1895, 1923
147|Bharatiya Book Corp.
148|Printed by A. Donaldson ...
149|Zentralverlag der N.S.D.A.P., F. Eher Nachf.
150|Audio Literature
151|Fount
152|Classics of Medicine Library
153|Empire Books
154|Steck-Vaughn
155|F.M. Ambrose
156|The Reprint Society
157|ĖKSMO
158|Hodder Wayland
159|Illustrated Modern
160|Book league of America
161|Ecole Regionale des Beaux-Arts
162|Gale ECCO, Print Editions
163|Murine Publications
164|J.M. Dent & sons, ltd.
165|Dent
166|gallimard
167|Solar Books
168|Outlook Verlagsgesellschaft mbH
169|Harvard Univ Pr
170|Miller, Orton & Mulligan
171|Brand: Random House Audio
172|Crosby Continental Editions
173|?
174|Duckworth & Co.
175|Flamingo
176|Methodist Mission Rooms
177|Classic Collection
178|Bernhard Tauchnitz
179|Plaza y Janes
180|Say
181|North Books
182|Tribeca Books
183|Kestner-Museum
184|Electa Napoli
185|Zsolnay
186|Tlačou Žigmunda Wintera
187|Ess. Ār. Bukkḍippō
188|Ediciones Rialp, S.A.
189|Manisha Prakasana
190|A. Lemerre
191|American publishing companyy
192|Printed by D. Chamberlaine, in Smock-Alley
193|1001 Çiçek Kitaplar
194|Yale University Press
