title,description,event_types,event_audiences,event_languages,event_page,location_name,location_details,start,end,featured,cancelled,recurring,registration_starts,registration_ends,registration_closed,registration_status,location_address,location_zip,location,day_of_the_week,event_id
Mather's Grow-It-Together Garden Club In-Person Viewing,"<p>This event is an in-person screening of the Grow-It-Together Garden Program.<br><br>This online garden club is for adults 50 years and older who are interested in hydroponic gardening. Join others to learn tips from a Mather coach who will discuss a variety of garden topics and answer any questions that come up during the growing process. Experience the simple joys of gardening with fresh herbs and vegetables in the comfort of your home with our Grow-It-Together (G.I.T.) Garden Kits. You can learn more about the program by visiting this <a href=""https://www.eventcombo.com/ms/ev/73702/Mathers-Grow-It-Together-Garden-Kit-With-CPL/home?eventRoleId="">link</a>.&nbsp;<strong>Registration for kits is currently open.</strong> You can still attend these club meetings even if you do not have a kit. Several branches will have in-person viewing opportunities, and this event page will be updated as more branches confirm:<br><br></p>
<ul><li>Garfield Ridge, 6348 S Archer Ave, Chicago, IL 60638</li><li>Richard J. Daley, 3400 S Halsted St, Chicago IL, 60608</li><li>North Pulaski, 4300 W. North Avenue, Chicago IL, 60639</li><li>Budlong Woods, 5630 N Lincoln Ave, Chicago, IL 60659</li><li>Humboldt Park,1605 N Troy St, Chicago, IL 60647</li><li>West Pullman, 830 W. 119th Street, Chicago, IL 60643</li></ul>
<p><a href=""https://www.mather.com/"">Mather</a> is a non-denominational 
not-for-profit organization dedicated to creating Ways to Age Well℠. 
Their thoughtfully designed initiatives help spark creativity and 
curiosity, prompt meaningful connections and conversations, and, most 
importantly, foster a powerful sense of community with ever-changing 
options that can be accessed in communities across the country.<br><br></p>
<figure><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/c07c7c18e16b9fbaf8a8ab41f13f3879/image.png"" data-image=""675ca83efea9b97171fab240"" width=""264.4"" height=""64"" style=""width: 264.4px; height: 64px;""></figure>
<p><em><br></em></p>",DIY | Health and Science,Seniors (Seniors: 55 and up),English,Event Page: Mather's Grow-It-Together Garden Club In-Person Viewing (https://chipublib.bibliocommons.com/events/684c8b963159392f0058e8c8),West Pullman,,2026-07-08T13:00:00.000,2026-07-08T14:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,830 W. 119th Street,60643,POINT (-87.643279 41.677937),Wednesday,684c8b963159392f0058e8c8
Marshall's Crocheting Circle,"<p>Do you know how to crochet, or do you&nbsp;want to learn how to crochet? Participants will learn stiches, patterns, new tips, and new tricks. New projects will be started and bring your current work in progress projects. Crochet hooks and start-up yarn will be provided and please bring your own material if you have some. Beginners, novice, and experienced crocheters are welcomed.<br></p>

<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>","Crafts, Games and Play",Adults (Adults: 18 and up),English,Event Page: Marshall's Crocheting Circle (https://chipublib.bibliocommons.com/events/68cdb7126df9ca153ebb964e),Thurgood Marshall,,2026-04-25T11:00:00.000,2026-04-25T12:30:00.000,FALSE,FALSE,TRUE,,2026-04-24T23:00:00.000,FALSE,ACTIVE,7506 S. Racine Avenue,60620,POINT (-87.654083 41.757383),Saturday,68cdb7126df9ca153ebb964e
Adult Game Night,"<p>Join us for a fun-filled night of smooth jazz and&nbsp;playing chess, checkers, cards and other fun games! Be sure to bring your own snacks (BYOS).&nbsp;<br></p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noopener noreferrer"" data-auth=""NotApplicable"" data-safelink=""true"" data-linkindex=""1"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>","Crafts, Games and Play",Adults (Adults: 18 and up),English,Event Page: Adult Game Night (https://chipublib.bibliocommons.com/events/690cc6579b87934100946e4d),Wrightwood-Ashburn,,2026-12-02T17:00:00.000,2026-12-02T19:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,8530 S. Kedzie Avenue,60652,POINT (-87.702283 41.738396),Wednesday,690cc6579b87934100946e4d
The Short of It: A Short Story Book Club,"<p>A different kind of book club focusing on narratives that can be read in a single sitting. Short stories are a great way to explore genres, authors, and ideas without the commitment of a longer book. Read a unique story every month and meet virtually with other adults for discussion.&nbsp;<br></p>
<p><strong>This month's story is ""Detective Dog"" by Gish Jen from&nbsp;<a id=""ember7140"" data-add-title-link=""2387425126"" href=""/item/show/2387425126""><em>Thank You, Mr. Nixon</em></a>.&nbsp;It is also available to read from&nbsp;<a href=""https://www.newyorker.com/magazine/2021/11/22/detective-dog"">The New Yorker</a>'s website (limited number of free articles) or available to listen <a href=""https://www.wnyc.org/story/gish-jen-reads-detective-dog/"">here</a>.</strong><br></p><p><em>""Detective Dog,"" [is] about a Chinese American family living in New York. Betty and her husband, Quentin, used to live in Hong Kong, then decamped to Vancouver, Canada, where they found the racism unbearable, thus moving to the States to start new lives. </em><br><br><em>Their older son, 16-year-old Theo, wishes he were back in Hong Kong to participate in the protests that are gripping the country; he resents his parents, who pass on words of advice from Betty's mother: ""No politics, just make money. See nothing, hear nothing, say nothing.""&nbsp;</em><em>--</em><a href=""https://www.npr.org/2022/02/01/1077296906/thank-you-mr-nixon-is-a-collection-written-with-intelligence-wit-and-grace"">NPR Book Reviews</a></p><p><br></p>

<p><strong></strong><strong>How to Attend</strong><strong></strong><br>
This event takes place on Zoom. Register at least 24 hours before the event.&nbsp;Only one registration per household is needed. You’ll receive an email with a link to the secure Zoom meeting about 24 hours before the meeting. Automatic transcription is included in all CPL events using Zoom.</p>
<p><strong>Accessibility</strong><br>
Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a>
to request accommodations. Requests must be made at least 14 business days before the event.</p>
<p><strong>Attending CPL Online Events</strong><br>
Questions about attending online events? Check out our <a href=""https://www.chipublib.org/faq/services/#events-2"">Events FAQs</a>.</p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: The Short of It: A Short Story Book Club (https://chipublib.bibliocommons.com/events/691502bac313c23700e1d860),,,2026-05-06T18:00:00.000,2026-05-06T19:00:00.000,FALSE,FALSE,TRUE,,2026-05-06T18:00:00.000,FALSE,ACTIVE,,,,Wednesday,691502bac313c23700e1d860
Open Play Time,"<p>Drop in for open play featuring a mix of activities and social time for kids and their caregivers.&nbsp;</p>
<p>For children 0 to 5 and their&nbsp;families. Children must be accompanied by an adult.&nbsp;<br></p>
<p><strong>Accessibility<br></strong>N<strong></strong>eed sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email&nbsp;<a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>","Crafts, Games and Play",Babies (Babies: 0 to 18 months) | Preschoolers (Preschoolers: 3 to 5 years) | Toddlers (Toddlers: 18 to 36 months),English,Event Page: Open Play Time (https://chipublib.bibliocommons.com/events/691b8590a6fedec953098c66),Blackstone,"Auditorium, lower level.",2026-04-21T10:30:00.000,2026-04-21T11:30:00.000,FALSE,TRUE,TRUE,,,FALSE,NOT REQUIRED,4904 S. Lake Park Avenue,60615,POINT (-87.590304 41.805939),Tuesday,691b8590a6fedec953098c66
Adult Book Club,"<p>Join our book club for a discussion of a different book each month. </p><p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Adult Book Club (https://chipublib.bibliocommons.com/events/691ceae4b864f02900251c4b),Vodak-East Side,,2026-11-24T13:00:00.000,2026-11-24T14:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,3710 E. 106th Street,60617,POINT (-87.533649 41.702875),Tuesday,691ceae4b864f02900251c4b
Pixel Party,"<p>It’s time for a pixel party! Join us as we use fuse beads to create unique, one-of-a-kind art. For our final pixel party of the year, we're celebrating the fandoms we love! Use provided patterns to create your favorite characters from books, movies, video games and television, or use your imagination to create your own design!<br><br>For ages 5 and up.</p>

<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email access@chipublib.org to request accommodations. Requests must be made at least 14 business days before the event.</p>","Crafts, Games and Play",Kids (Kids: 6 to 13 years),English,Event Page: Pixel Party (https://chipublib.bibliocommons.com/events/692759a67eb3e430002632c3),Independence,,2026-04-14T16:30:00.000,2026-04-14T17:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,4024 N. Elston Avenue,60618,POINT (-87.7203136 41.954157),Tuesday,692759a67eb3e430002632c3
Learn Basic Computer Skills,"<p>Looking for basic computer skills? We'll be going through everything from booting up the computer, using a mouse and accessing the internet. Due to a limited number of in-house computers, please contact the library if you will be needing a laptop. We ask those who have a laptop to bring it with them.<br></p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" id=""OWAfa2982a1-9271-9c86-941b-724fa7086dd4"" data-linkindex=""1"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>",Computers and Technology,Adults (Adults: 18 and up),English,Event Page: Learn Basic Computer Skills (https://chipublib.bibliocommons.com/events/69320b7b04caba2f00d34e16),South Chicago,,2026-03-31T11:00:00.000,2026-03-31T12:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,9055 S. Houston Avenue,60617,POINT (-87.549661 41.730922),Tuesday,69320b7b04caba2f00d34e16
Public Speaking Practice With the WAO Toastmasters Club,"<p>Join us in person as we prepare to improve your public speaking skills, build your leadership skills, maximize your potential and more with the&nbsp;Wrightwood-Ashburn Overcomers (WAO) Toastmasters Club, in partnership with the Wrightwood-Ashburn Branch.<br></p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>
<p></p>
<p> </p>",Workshops,Adults (Adults: 18 and up),English,Event Page:  Public Speaking Practice With the WAO Toastmasters Club (https://chipublib.bibliocommons.com/events/69330b2d04caba2f00d3690e),Wrightwood-Ashburn,,2026-05-23T10:30:00.000,2026-05-23T12:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,8530 S. Kedzie Avenue,60652,POINT (-87.702283 41.738396),Saturday,69330b2d04caba2f00d3690e
Stitch Night,"<p>Bring your favorite projects (knitting, crocheting, needlepoint, or whatever craft you love to stitch). Please show us what you’ve been working on over the past year, month or week, and share your frustrations and accomplishments with an enthusiastic and supportive audience.&nbsp;<br></p>
<p><strong>Accessibility</strong> <br>
Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <u><a href=""mailto:access@chipublib.org"" target=""_blank"">access@chipublib.org</a></u> to request accommodations. Requests must be made at least 14 business days before the event. </p>","Crafts, Games and Play",Adults (Adults: 18 and up) | Teens (Teens: 13 to 19 years),English,Event Page: Stitch Night (https://chipublib.bibliocommons.com/events/6933129804caba2f00d36b9e),Oriole Park,meeting room,2026-11-18T18:00:00.000,2026-11-18T19:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,7454 W. Balmoral Avenue,60656,POINT (-87.813665 41.978137),Wednesday,6933129804caba2f00d36b9e
